"cluster","gene","p_val","avg_diff","pct.1","pct.2","p_val_adj","on_cell_surface","comparison","comparison_celltype","log","Difference"
"Basal","CD44",1.48487721813085e-10,0.996097855112413,0.642,0.262,3.91666063826374e-06,TRUE,"IPF vs Control","IPF vs Control_Basal",5.40708405656403,0.996097855112413
"Differentiating Ciliated","CD63",3.41706153773556e-27,1.69137482104135,0.96,0.854,9.01318321808508e-23,TRUE,"IPF vs Control","IPF vs Control_Differentiating Ciliated",22.0451218005973,1.69137482104135
"Differentiating Ciliated","CD151",9.4412069435461e-14,0.457167136912785,0.522,0.252,2.49030715549916e-09,TRUE,"IPF vs Control","IPF vs Control_Differentiating Ciliated",8.60374708354222,0.457167136912785
"Differentiating Ciliated","SDC1",1.40136333120212e-07,0.334307314908616,0.475,0.283,0.00369637605871182,TRUE,"IPF vs Control","IPF vs Control_Differentiating Ciliated",2.43222385132767,0.334307314908616
"Ciliated","SDC4",5.99468996480576e-11,-0.25553338682856,0.674,0.715,1.58121937201681e-06,TRUE,"IPF vs Control","IPF vs Control_Ciliated",5.80100787361792,-0.25553338682856
"SCGB3A2+","CD63",3.70909156988317e-12,3.13395855845332,0.993,0.99,9.78347083388083e-08,TRUE,"IPF vs Control","IPF vs Control_SCGB3A2+",7.00950704535653,3.13395855845332
"MUC5B+","CD63",1.81664251377016e-39,2.60527387460102,0.969,0.922,4.79175795857156e-35,TRUE,"IPF vs Control","IPF vs Control_MUC5B+",34.3195051271612,2.60527387460102
"MUC5B+","ADRA2A",8.76990349418007e-26,-0.345920314047768,0.075,0.274,2.31323744465988e-21,FALSE,"IPF vs Control","IPF vs Control_MUC5B+",20.6357797863332,-0.345920314047768
"MUC5B+","SDC1",1.64706457054357e-12,0.493948343544778,0.57,0.367,4.34446221772278e-08,TRUE,"IPF vs Control","IPF vs Control_MUC5B+",7.36206397533276,0.493948343544778
"MUC5B+","ITGB1",8.72998052093733e-11,0.36684888285578,0.419,0.224,2.30270696200764e-06,TRUE,"IPF vs Control","IPF vs Control_MUC5B+",5.63776132598734,0.36684888285578
"MUC5B+","CD151",4.41495248603517e-08,0.537410573430678,0.711,0.616,0.0011645320172415,TRUE,"IPF vs Control","IPF vs Control_MUC5B+",2.93384856662251,0.537410573430678
"Transitional AT2","CD63",1.45107556863363e-63,5.01289129429683,0.995,0.962,3.82750202738493e-59,TRUE,"IPF vs Control","IPF vs Control_Transitional AT2",58.4170845705887,5.01289129429683
"Transitional AT2","ITGB1",1.33788837657843e-20,0.913743331921689,0.776,0.612,3.52894817090094e-16,TRUE,"IPF vs Control","IPF vs Control_Transitional AT2",15.452354720007,0.913743331921689
"Transitional AT2","CD44",3.43280577901907e-18,0.893710928849225,0.759,0.546,9.0547118033186e-14,TRUE,"IPF vs Control","IPF vs Control_Transitional AT2",13.0431253680137,0.893710928849225
"Transitional AT2","CD151",2.72434343059887e-17,1.58550487017402,0.926,0.847,7.18600066689065e-13,TRUE,"IPF vs Control","IPF vs Control_Transitional AT2",12.143512746827,1.58550487017402
"AT2","CD63",8.67567104738217e-172,3.48223413923137,0.965,0.986,2.288381752168e-167,TRUE,"IPF vs Control","IPF vs Control_AT2",166.640471524009,3.48223413923137
"AT2","SDC4",4.0532102327653e-38,-1.08642156213991,0.787,0.887,1.0691152630965e-33,TRUE,"IPF vs Control","IPF vs Control_AT2",32.9709754702559,-1.08642156213991
"AT2","SDC1",2.79039079635299e-27,0.394082410882712,0.578,0.515,7.36021380354029e-23,TRUE,"IPF vs Control","IPF vs Control_AT2",22.1331095698542,0.394082410882712
