"cell","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT1","LGALS3",6.72116917475522e-25,1.10260945167097,0.998,0.958,1.77284279322518e-20
"AT1","COL4A3",3.70561443254267e-21,-1.28834268406135,0.574,0.781,9.77429918871779e-17
"AT1","PRDX1",3.32797095692926e-20,0.94794417893348,0.994,0.969,8.7781889930923e-16
"AT1","IL32",1.92877493482124e-18,-1.2134015411672,0.375,0.781,5.08752964557799e-14
"AT1","S100A6",2.52862636219337e-18,0.885499731394715,1,0.99,6.66975775555745e-14
"AT1","SCGB1A1",2.89852253350793e-18,-1.63216169387113,0.237,0.688,7.64543288663386e-14
"AT1","MRC2",4.50726353286575e-18,-0.775578071758105,0.034,0.354,1.188880902064e-13
"AT1","NEAT1",7.11135763140087e-18,-1.31883898144889,0.945,1,1.87576280243461e-13
"AT1","GSTP1",2.48604229452923e-17,0.866200476467636,0.996,0.969,6.55743376027975e-13
"AT1","MT-ND3",1.26850535966656e-16,-1.48205522265099,0.994,1,3.34593658719248e-12
"AT1","FOS",6.86770194689909e-16,-1.40609508933972,0.748,0.938,1.81149374253357e-11
"AT1","VEGFA",1.03260920618472e-15,-0.985383675737201,0.614,0.844,2.72371330315344e-11
"AT1","FOSB",3.08155214788823e-15,-1.57058519849854,0.218,0.583,8.12821010048479e-11
"AT1","RPL30",8.73284575404752e-15,0.71023042918342,0.998,0.99,2.30346272454511e-10
"AT1","SPARC",1.21676177078033e-14,-1.0522045141912,0.258,0.625,3.20945252278728e-10
"AT1","ITGB6",1.32282034202518e-14,-1.02454218426279,0.508,0.781,3.48920321615981e-10
"AT1","HOPX",3.00301531752272e-14,1.11182471346989,0.983,0.979,7.92105350302968e-10
"AT1","COX6A1",3.10600944839462e-14,0.691139046354107,0.983,0.885,8.19272112203049e-10
"AT1","ZFP36",5.90217531255447e-14,-1.14540756556041,0.879,0.938,1.55681678219249e-09
"AT1","CST3",9.01471419363655e-14,0.855919582254747,0.994,0.969,2.37781116285551e-09
"AT1","PRDX5",1.47486013849725e-13,0.699214495422551,0.987,0.844,3.89023858731419e-09
"AT1","RPS25",1.66604726181887e-13,0.679336133358476,0.996,0.948,4.39453286249964e-09
"AT1","ADIRF",3.40488548984204e-13,1.04007251340836,0.903,0.646,8.98106645655634e-09
"AT1","RPL11",3.47733309110507e-13,0.652779990558,0.998,0.979,9.17216149440784e-09
"AT1","SPTSSA",3.6509186346953e-13,0.890553011214565,0.703,0.406,9.63002808273578e-09
"AT1","SCGB3A1",4.80223408319567e-13,-1.03035878440379,0.445,0.781,1.26668528412452e-08
"AT1","SELENBP1",4.99730405249963e-13,0.961295640618755,0.739,0.417,1.31813888992783e-08
"AT1","AC090498.1",5.41047342291739e-13,0.772077540981666,0.996,0.99,1.42712057476292e-08
"AT1","VMP1",5.89105236036619e-13,-1.04145226496109,0.269,0.604,1.55388288109379e-08
"AT1","WFDC2",6.10887545206227e-13,1.08364295502044,0.833,0.667,1.61133807799047e-08
"AT1","RPL14",1.94054218924888e-12,0.619746207814765,1,0.958,5.11856813258177e-08
"AT1","S100A4",2.61540832488773e-12,2.0608764682374,0.913,0.792,6.89866253855638e-08
"AT1","JUND",2.87944441654835e-12,-0.825046748022405,0.477,0.688,7.59511053752958e-08
"AT1","PEBP4",3.55346741117255e-12,1.08653182450102,0.591,0.271,9.37298099044983e-08
"AT1","SLPI",5.12940789462521e-12,3.31275087158688,0.803,0.615,1.35298392036529e-07
"AT1","FAU",6.77834051846871e-12,0.724859310782451,0.989,0.969,1.78792287855649e-07
"AT1","ASAH1",7.09018337697924e-12,0.674344583221457,0.968,0.812,1.87017766934581e-07
"AT1","RHOA",7.33392596669157e-12,0.657819991192455,0.989,0.948,1.93446965223423e-07
"AT1","SFTA2",7.62683984982122e-12,0.759683646454744,0.962,0.823,2.01173154718734e-07
"AT1","MT-ND4",7.80385145493756e-12,-1.02502390400815,0.994,0.99,2.05842189826888e-07
"AT1","PTGS2",9.60910225399647e-12,-1.01079940085252,0.189,0.51,2.53459290153665e-07
"AT1","DSTN",1.46010376014748e-11,0.709148789749431,0.994,0.938,3.85131568814101e-07
"AT1","RPL27",1.67584644257476e-11,0.64765215589594,0.964,0.844,4.42038016157945e-07
"AT1","DSP",1.85678723042796e-11,0.614856610108976,0.358,0.042,4.89764767769982e-07
"AT1","RPL18",1.92303731568157e-11,0.579189916943466,0.998,0.958,5.07239552757328e-07
"AT1","BLVRB",2.26538364520312e-11,0.829585866482858,0.79,0.51,5.97540244095226e-07
"AT1","CTD-3252C9.4",2.29222833322532e-11,-0.747483466080206,0.078,0.354,6.04621067454843e-07
"AT1","PEBP1",2.38758803273237e-11,0.694914670137564,0.926,0.781,6.29774095393818e-07
"AT1","SKIL",2.7219157633861e-11,-0.682503434872521,0.167,0.417,7.17959720908353e-07
"AT1","RPL19",3.13803424118982e-11,0.624038614858117,0.998,0.948,8.27719291798639e-07
"AT1","SDR16C5",4.34503983014973e-11,0.702319451359315,0.428,0.094,1.14609115599859e-06
"AT1","RGCC",7.20176958606364e-11,-1.06459579113451,0.778,0.854,1.89961076371601e-06
"AT1","FHL1",1.0563687245564e-10,-0.794356516943886,0.155,0.375,2.7863837847624e-06
"AT1","TMEM14C",1.52992989707778e-10,0.768408641817088,0.665,0.333,4.03549608952206e-06
"AT1","TIMP3",1.54429006163207e-10,-1.05557408970745,0.748,0.875,4.0733738955669e-06
"AT1","RPL10",2.13195074108664e-10,0.630004039242488,1,1,5.62344646976422e-06
"AT1","RBM3",2.83691368600603e-10,0.710606062544276,0.847,0.625,7.48292722957811e-06
"AT1","H3F3B",3.36420721374081e-10,0.670353297969561,1,0.99,8.87376936768414e-06
"AT1","HSD17B6",3.41641545413609e-10,0.880294585515097,0.578,0.229,9.01147904337476e-06
"AT1","MT-ATP8",4.5632888608905e-10,-1.09704423793834,0.992,1,1.20365870283709e-05
"AT1","RABAC1",4.76035959084794e-10,0.728471739215283,0.833,0.552,1.25564004927796e-05
"AT1","RPS7",4.88275458783213e-10,0.652474973815943,0.996,0.948,1.28792417763248e-05
"AT1","RPL35",4.93145892089734e-10,0.526527442885006,0.992,0.917,1.30077091956509e-05
"AT1","COL4A4",5.4429017040134e-10,-0.745561304606546,0.458,0.708,1.43567418246762e-05
"AT1","AK1",5.45873140148612e-10,0.810843908137484,0.731,0.469,1.43984958176999e-05
"AT1","RPS14",5.79233913952966e-10,0.574173928920653,0.998,0.979,1.52784529483374e-05
"AT1","KRT8",7.58715331903016e-10,-0.768192639701024,0.862,0.823,2.00126343096058e-05
"AT1","MGST1",8.94393193925046e-10,0.930481155519396,0.644,0.573,2.35914092761609e-05
"AT1","XIST",9.00265210747497e-10,0.508050630937255,0.358,0.073,2.37462954638867e-05
"AT1","SEPP1",9.31373806371691e-10,0.888011768659944,0.803,0.615,2.45668468906661e-05
"AT1","MT-CO3",1.07752079842917e-09,-1.12607225032051,0.994,1,2.84217661001662e-05
"AT1","CDHR3",1.22502146233143e-09,-0.254427350686801,0.002,0.135,3.23123911119161e-05
"AT1","RPS4X",1.25293093654014e-09,0.687212558969107,0.989,0.938,3.30485593131194e-05
"AT1","TSPO",1.32752601791177e-09,0.613385722939027,0.926,0.76,3.50161537744587e-05
"AT1","RPL18A",1.35668371961015e-09,0.616438322370855,0.992,0.917,3.5785246472157e-05
"AT1","SOCS2",1.35872531323446e-09,-0.288539894784216,0.006,0.156,3.58390975871854e-05
"AT1","RPS8",1.58433885175605e-09,0.463076398270549,1,0.979,4.17901058927692e-05
"AT1","ABCC3",1.94161079772701e-09,-0.647698256069119,0.144,0.427,5.12138680116454e-05
"AT1","RPL35A",2.3371556915754e-09,0.62892740943353,0.985,0.948,6.16471556766844e-05
"AT1","RPS23",2.58230365659002e-09,0.572531931714921,0.994,0.969,6.81134235498749e-05
"AT1","TAGLN2",3.04281252500511e-09,0.767290591304499,0.994,0.948,8.02602659720598e-05
"AT1","MYADM",3.62198567539095e-09,-0.643044520112718,0.383,0.479,9.5537116159787e-05
"AT1","SLC25A3",3.67476101531969e-09,0.543097374954369,0.903,0.792,9.69291713010875e-05
"AT1","RNASE1",3.81545841084471e-09,0.720357010889036,0.989,0.927,0.000100640346502851
"AT1","SOD3",3.8862240883689e-09,0.905885349923284,0.591,0.323,0.000102506932778906
"AT1","AREG",4.66038291356179e-09,-0.890022579727439,0.057,0.26,0.000122926920111019
"AT1","PDGFA",5.33900711591486e-09,-0.566411684644003,0.284,0.552,0.000140826990696486
"AT1","RPL28",6.51897890504678e-09,0.46131135185552,0.998,0.99,0.000171951106578419
"AT1","CTNNBIP1",6.64699478331983e-09,0.707426341792404,0.574,0.302,0.000175327781399627
"AT1","RPLP0",7.72661354659659e-09,0.706419961104783,0.989,0.969,0.000203804885518578
"AT1","ANKRD1",7.8381886716427e-09,-1.40654061001119,0.161,0.458,0.00020674790259192
"AT1","ANGPTL4",9.24132844730833e-09,-0.6944558415268,0.008,0.146,0.000243758520454652
"AT1","FAM105A",9.29365905740716e-09,0.744034470521887,0.72,0.438,0.000245138844957229
"AT1","ERRFI1",1.23735323782357e-08,-0.844945218018121,0.481,0.615,0.000326376663540724
"AT1","CDKN1A",1.29344175667249e-08,-0.76533267408295,0.233,0.5,0.000341171132157503
"AT1","RPL32",1.3610310752838e-08,0.559668809020615,0.994,0.969,0.000358999166727608
"AT1","RPS15A",1.69422625336066e-08,0.47151871247614,0.998,0.958,0.000446886058848942
"AT1","NGFRAP1",2.2964155869991e-08,0.74059659409696,0.792,0.562,0.000605725539382753
"AT1","BACE2",2.42777593554464e-08,-0.511899038531433,0.093,0.292,0.000640374458518611
"AT1","RPS18",2.72695282522013e-08,0.581660486242646,0.996,0.99,0.000719288346708315
"AT1","MT-CO1",2.72994816515986e-08,-1.02597113345487,0.996,1,0.000720078427524217
"AT1","RPL7A",2.74423484744632e-08,0.477435855794903,0.998,0.969,0.000723846825710915
"AT1","LGALS1",3.52006052605742e-08,-0.887098459847081,0.669,0.885,0.000928486364958167
"AT1","MS4A15",3.66829771672898e-08,1.04984513191216,0.57,0.333,0.000967586888741603
"AT1","GLS",4.73989443116611e-08,-0.638445285540903,0.396,0.635,0.00125024195410869
"AT1","IGFBP2",5.47542625045277e-08,-0.266918294869998,0.002,0.115,0.00144425318208193
"AT1","MT-ND2",5.51685593005622e-08,-0.750052295264155,0.981,0.99,0.00145518108867093
"AT1","RPL9",5.96426785220886e-08,0.562765188044618,0.983,0.917,0.00157319493137713
"AT1","SIK1",6.58669284506331e-08,-0.288838671888878,0.03,0.208,0.00173737197174235
"AT1","ANXA2",6.8298088659134e-08,0.488426109295958,1,1,0.00180149868456198
"AT1","LBH",7.15865312787299e-08,-0.618698138580887,0.212,0.427,0.00188823793553906
"AT1","RNH1",7.31739690200746e-08,0.68465685406535,0.758,0.594,0.00193010978084251
"AT1","ADI1",7.67833449776048e-08,0.630355855839382,0.597,0.312,0.00202531429047428
"AT1","BCAT2",7.83011540910985e-08,0.456688091786966,0.309,0.062,0.00206534954146091
"AT1","ATP2B4",8.102008795785e-08,-0.580199161549947,0.419,0.615,0.00213706686006421
"AT1","DCXR",8.41123647972422e-08,0.664195906244134,0.53,0.24,0.00221863184625686
"AT1","ACTB",8.43414811963527e-08,0.624785539491446,1,1,0.0022246752495162
"AT1","PMEPA1",8.64624726279639e-08,-0.548540240528377,0.182,0.385,0.0022806206405078
"AT1","RPLP1",1.02346113695568e-07,0.450052749012679,0.998,0.99,0.002699583440948
"AT1","ATP5E",1.04446805012196e-07,0.458994728107876,0.994,0.969,0.00275499337580668
"AT1","CCL2",1.10329149682684e-07,-0.733648705789129,0.008,0.135,0.00291015198118016
"AT1","RCAN1",1.21923292450567e-07,-0.632344631455509,0.176,0.365,0.00321597068496861
"AT1","B2M",1.56183343987681e-07,0.567504859121742,1,0.99,0.00411964806436306
"AT1","CYBRD1",1.58162220106251e-07,0.567389871273207,0.612,0.302,0.00417184487974259
"AT1","RPL13",1.66580991274919e-07,0.459426183539636,0.996,0.979,0.00439390680685854
"AT1","MT1X",1.69437495756074e-07,-1.61911868086724,0.083,0.281,0.00446925282555796
"AT1","RPS26",1.79225357290071e-07,0.639250809916313,0.981,0.948,0.0047274272492402
"AT1","AGR3",1.81531495464689e-07,-0.664738019017707,0.494,0.583,0.0047882562558721
"AT1","CLDN4",1.81593227555009e-07,0.743558038487333,0.797,0.677,0.00478988456321846
"AT1","AGER",2.06319700980436e-07,0.653805064807494,0.987,0.938,0.00544209475276097
"AT1","NDNF",2.15461081832739e-07,-0.786265829744307,0.587,0.802,0.00568321695550216
"AT1","COX6C",2.15778465129207e-07,0.530251989100017,0.956,0.844,0.00569158857471309
"AT1","FAM189A2",2.18164644209938e-07,-0.54529208580101,0.339,0.604,0.00575452882032554
"AT1","HINT1",2.33411122372712e-07,0.434847345807245,0.979,0.875,0.00615668517482501
"AT1","EPDR1",2.41128627344372e-07,0.48076168150168,0.36,0.104,0.00636024980346249
"AT1","CHCHD2",2.50551544571499e-07,0.466166303408213,0.964,0.833,0.00660879809116243
"AT1","RPS5",3.43212210541394e-07,0.613016337015412,0.968,0.885,0.00905290847745034
"AT1","MYL12A",3.47167772619714e-07,0.549645492968026,0.994,0.979,0.00915724433839018
"AT1","LMNA",3.58922441980812e-07,-0.641605745800578,0.797,0.885,0.00946729725212787
"AT1","SAP18",3.87781435038117e-07,0.518236386920343,0.769,0.51,0.0102285109120004
"AT1","MT1E",4.36129466216367e-07,-1.42467175407766,0.424,0.5,0.0115037869303891
"AT1","PRSS23",4.37758336402763e-07,-0.566811471416452,0.112,0.312,0.0115467516392957
"AT1","TXN",4.46345166363633e-07,0.499093504273938,0.968,0.885,0.0117732464531735
"AT1","SYT8",4.64179801549708e-07,-0.575981711127789,0.125,0.312,0.0122436706254767
